ItemID,DataID,OldID,Continent,RivID,X,Y,Country,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume,ReferDB
I001,D001,Ref001,North_America,NR001,-80.11082666,43.07828814,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75,Custom_db
I002,D001,Ref001,North_America,NR002,-82.38577952,42.65018554,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75,Custom_db
I003,D001,Ref001,North_America,NR003,-81.87790017,42.79227812,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75,Custom_db
I008,D003,Ref003,North_America,NR004,-81.40662868,41.33943973,US,2013,7,Cytb02,CytB,130,0.05,1,0.05,Global_db
I009,D004,Ref004,South_America,NR005,-41.52784652,-16.6327414,Brasil,2017,2,MiFish,12S,170,1,3,3,Custom_db
I010,D004,Ref004,South_America,NR005,-41.52784652,-16.6327414,Brasil,2017,3,MiFish,12S,170,1,3,3,Custom_db
I011,D005,Ref005,Europe,NR006,5.038489098,45.00382856,France,2016,4,Teleo,12S,108,30,2,60,Custom_db
I012,D006,Ref006,Asia,NR007,130.0676683,33.33680763,Japan,2016,10,MiFish,12S,170,1,2,2,Global_db
I013,D006,Ref006,Asia,NR008,130.7146398,33.43348675,Japan,2016,10,MiFish,12S,170,1,2,2,Global_db
I014,D006,Ref006,Asia,NR009,132.2913243,34.92430671,Japan,2016,10,MiFish,12S,170,1,2,2,Global_db
I015,D006,Ref006,Asia,NR010,130.578339,32.08820077,Japan,2016,10,MiFish,12S,170,1,2,2,Global_db
I016,D006,Ref006,Asia,NR011,132.1513592,34.31180383,Japan,2016,10,MiFish,12S,170,1,2,2,Global_db
I017,D007,Ref007,South_America,NR012,-53.74753535,3.985371512,French Guiana,2014,11,Teleo,12S,108,50,1,50,Global_db
I018,D007,Ref007,South_America,NR013,-53.55806676,5.029744627,French Guiana,2014,11,Teleo,12S,108,50,1,50,Global_db
I019,D007,Ref007,South_America,NR014,-52.42733625,4.074473332,French Guiana,2014,11,Teleo,12S,108,50,1,50,Global_db
I020,D007,Ref007,South_America,NR015,-51.8746279,3.838930116,French Guiana,2014,11,Teleo,12S,108,50,1,50,Global_db
I021,D008,Ref008,Europe,NR016,5.753648765,45.53865082,France,2014,9,Teleo,12S,108,45,4.5,202.5,Global_db
I022,D009,Ref009,North_America,NR017,-89.91292441,44.37422584,US,2018,7,Riaz01,12S,130,0.05,36,1.8,Custom_db
