ItemID,RivID,DataID,Continent,Country,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume,ReferDB,SR_Re,Redundancy_Re,MNTD_Re,GD_Re,SR_Ori,Redundancy_Ori,MNTD_Tre,GD.12S_Tre,GD.16S_Tre,GDvalue.COI_Tre
I001,NR001,D001,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75,Custom_db,NA,NA,NA,NA,50,5.514347142,NA,NA,NA,NA
I002,NR002,D001,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75,Custom_db,NA,NA,NA,NA,21,1.777866116,NA,NA,NA,NA
I003,NR003,D001,North_America,Canada,2013,10,PS1,COI,247,0.5,3.5,1.75,Custom_db,NA,NA,NA,NA,51,6.387888003,NA,NA,NA,NA
I004,NR058,D002,Asia,Sourth Korea,2018,6,MiFish,12S,170,0.25,4,1,Global_db,25,2.376154942,0.040447043,0.142894899,NA,NA,111.4877312,0.00031869,0.006054288,0.031104063
I005,NR059,D002,Asia,Sourth Korea,2018,6,MiFish,12S,170,0.25,4,1,Global_db,22,1.431329997,0.040192154,0.248656056,NA,NA,103.7186368,0.000279071,0.009860237,0.031451695
I006,NR060,D002,Asia,Sourth Korea,2018,6,MiFish,12S,170,0.25,4,1,Global_db,42,3.416636911,0.047665547,0.173392959,NA,NA,84.82671033,0.004260302,0.006704961,0.02351644
I007,NR061,D002,Asia,Sourth Korea,2018,6,MiFish,12S,170,0.25,4,1,Global_db,31,2.622223867,0.045496696,0.127102191,NA,NA,113.5977863,0.000303514,0.006446445,0.028501393
I008,NR004,D003,North_America,US,2013,7,Cytb02,CytB,130,0.05,1,0.05,Global_db,3,0.647111174,NA,NA,13,1.848047919,111.7207927,5.50E-05,0,0.010164757
I009,NR005,D004,South_America,Brasil,2017,2,MiFish,12S,170,1,3,3,Custom_db,8,0.246874793,0.050106739,0.093719726,33,2.010473984,199.8625516,0,0.035666667,0.03418552
I010,NR005,D004,South_America,Brasil,2017,3,MiFish,12S,170,1,3,3,Custom_db,6,0.281434032,0.050106739,0.093719726,31,2.623238804,200.4350015,0,0,0.042458361
I011,NR006,D005,Europe,France,2016,4,Teleo,12S,108,30,2,60,Custom_db,31,2.210052504,NA,NA,48,3.798824117,133.4314063,0.000460554,0.004208547,0.017244601
I012,NR007,D006,Asia,Japan,2016,10,MiFish,12S,170,1,2,2,Global_db,4,0.477737662,0.080728333,0.021316292,22,1.891645264,99.76635096,0.000322341,0.000362469,0.004460919
I013,NR008,D006,Asia,Japan,2016,10,MiFish,12S,170,1,2,2,Global_db,2,0,0.110302,0.002824859,33,2.994900252,117.2216208,0,0,0.027827626
I014,NR009,D006,Asia,Japan,2016,10,MiFish,12S,170,1,2,2,Global_db,3,0.353120638,0.05783,0.028351669,29,2.994946148,71.56241598,0,0.000483292,0.016770065
I015,NR010,D006,Asia,Japan,2016,10,MiFish,12S,170,1,2,2,Global_db,3,0,0.060964286,0.010005683,26,3.284083719,83.50284855,3.67E-05,0,0.019405196
I016,NR011,D006,Asia,Japan,2016,10,MiFish,12S,170,1,2,2,Global_db,3,0.353120638,0.04149625,0.019504452,34,3.978078735,71.56241598,0,0.000483292,0.016770065
I017,NR012,D007,South_America,French Guiana,2014,11,Teleo,12S,108,50,1,50,Global_db,NA,NA,NA,NA,24,0.685684631,NA,NA,NA,NA
I018,NR013,D007,South_America,French Guiana,2014,11,Teleo,12S,108,50,1,50,Global_db,NA,NA,NA,NA,7,0,NA,NA,NA,NA
I019,NR014,D007,South_America,French Guiana,2014,11,Teleo,12S,108,50,1,50,Global_db,NA,NA,NA,NA,6,0,NA,NA,NA,NA
I020,NR015,D007,South_America,French Guiana,2014,11,Teleo,12S,108,50,1,50,Global_db,NA,NA,NA,NA,3,0,NA,NA,NA,NA
I021,NR016,D008,Europe,France,2014,9,Teleo,12S,108,45,4.5,202.5,Global_db,14,1.489498281,NA,NA,23,2.3380152,110.0383026,0.000253564,0,0.008706856
I022,NR017,D009,North_America,US,2018,7,Riaz01,12S,130,0.05,36,1.8,Custom_db,43,5.47813945,NA,NA,38,3.1763325,110.6343582,0.000486627,0.000313033,0.011673499
I023,NR018,D010,Europe,UK,2016,11,Riaz01,12S,130,0.05,6,0.3,Global_db,5,0.315485244,NA,NA,10,0.316143808,128.8272739,0.000280434,0.012272648,0.010297804
I024,NR018,D010,Europe,UK,2016,5,Riaz01,12S,130,0.05,6,0.3,Global_db,5,0.315485244,NA,NA,10,0.316143808,128.8272739,0.000280434,0.012272648,0.010297804
I025,NR018,D010,Europe,UK,2017,7,Riaz01,12S,130,0.05,6,0.3,Global_db,5,0.315485244,NA,NA,10,0.316143808,128.8272739,0.000280434,0.012272648,0.010297804
I026,NR019,D011,Europe,UK,2017,11,Riaz01,12S,130,2,5,10,Custom_db,15,0.668095803,NA,NA,25,1.775541523,129.5323873,0.000360217,0.004370961,0.009052964
I027,NR075,D012,North_America,US,2017,10,A12S,12S,198,3,6,18,Global_db,2,0.508274341,NA,NA,NA,NA,22.260968,0.002219218,0.003360117,0.113646687
I028,NR076,D012,North_America,US,2017,10,A12S,12S,198,3,6,18,Global_db,2,0.508274341,NA,NA,NA,NA,22.260968,0.002219218,0.003360117,0.113646687
I029,NR077,D012,North_America,US,2017,10,A12S,12S,198,3,6,18,Global_db,3,1.506570363,NA,NA,NA,NA,23.86965067,0.001479478,0.001680058,0.095270918
I030,NR073,D012,North_America,US,2017,10,A12S,12S,198,3,6,18,Global_db,4,0.486421652,NA,NA,NA,NA,100.6673664,0.002083532,0.001120039,0.059967962
I031,NR074,D012,North_America,US,2017,10,A12S,12S,198,3,6,18,Global_db,5,0.429165824,NA,NA,NA,NA,85.76771227,0.001109609,0.000840029,0.049861084
I032,NR078,D012,North_America,US,2017,10,A12S,12S,198,3,6,18,Global_db,2,0.508274341,NA,NA,NA,NA,22.260968,0.002219218,0.003360117,0.113646687
I033,NR020,D013,South_America,multiple,2017,10,Teleo,12S,108,34,2,68,Custom_db,41,1.099707773,NA,NA,115,8.991010577,94.8029203,0,1.83E-05,0.021931263
I034,NR021,D013,South_America,multiple,2018,11,Teleo,12S,108,34,2,68,Custom_db,38,1.353302577,NA,NA,105,7.179670713,87.77408148,0.000202894,8.85E-05,0.029775831
I035,NR066,D014,Europe,Switzerland,2016,6,COI313,COI,313,0.25,3,0.75,Custom_db,4,1.166549633,NA,NA,NA,NA,98.78884097,0.000221422,0.000840029,0.006456777
I036,NR062,D015,Asia,Thailand,2016,11,Riaz01,12S,106,0.1,6,0.6,Custom_db,NA,NA,NA,NA,82,7.13290536,NA,NA,NA,NA
