samID,ItemID,DataID,RivID,SiteID,Continent,Country,RiverName,Primer,Year,Month,Lon,Lat,BarcodeRegion,BarcodeLength,SamVolume,ReferDB,SR_Re,Redundancy_Re,MNTD_Re,GD_Re,SR_Ori,Redundancy_Ori,MNTD_Tre,GD.12S_Tre,GD.16S_Tre,GDvalue.COI_Tre
I001_S001,I001,D001,NR001,S001,North_America,Canada,Grand River,PS1,2013,10,-80.29797752,43.14931991,COI,247,0.5,Custom_db,NA,NA,NA,NA,4,0.287554513,NA,NA,NA,NA
I001_S002,I001,D001,NR001,S002,North_America,Canada,Grand River,PS1,2013,10,-80.28632823,43.13767062,COI,247,0.5,Custom_db,NA,NA,NA,NA,7,0.839952481,NA,NA,NA,NA
I001_S003,I001,D001,NR001,S003,North_America,Canada,Grand River,PS1,2013,10,-80.26719011,43.13267807,COI,247,0.5,Custom_db,NA,NA,NA,NA,4,0.065614947,NA,NA,NA,NA
I001_S004,I001,D001,NR001,S004,North_America,Canada,Grand River,PS1,2013,10,-80.26469384,43.12269296,COI,247,0.5,Custom_db,NA,NA,NA,NA,6,0.306861486,NA,NA,NA,NA
I001_S005,I001,D001,NR001,S005,North_America,Canada,Grand River,PS1,2013,10,-80.26719011,43.11437204,COI,247,0.5,Custom_db,NA,NA,NA,NA,7,0.709393895,NA,NA,NA,NA
I001_S006,I001,D001,NR001,S006,North_America,Canada,Grand River,PS1,2013,10,-80.26469384,43.10605112,COI,247,0.5,Custom_db,NA,NA,NA,NA,8,1.1984067,NA,NA,NA,NA
I001_S007,I001,D001,NR001,S007,North_America,Canada,Grand River,PS1,2013,10,-80.24472363,43.10771531,COI,247,0.5,Custom_db,NA,NA,NA,NA,18,2.267784062,NA,NA,NA,NA
I001_S008,I001,D001,NR001,S008,North_America,Canada,Grand River,PS1,2013,10,-80.24305945,43.11603623,COI,247,0.5,Custom_db,NA,NA,NA,NA,14,1.703389426,NA,NA,NA,NA
I001_S009,I001,D001,NR001,S009,North_America,Canada,Grand River,PS1,2013,10,-80.22475342,43.1193646,COI,247,0.5,Custom_db,NA,NA,NA,NA,10,1.119396631,NA,NA,NA,NA
I001_S010,I001,D001,NR001,S010,North_America,Canada,Grand River,PS1,2013,10,-80.2164325,43.13018179,COI,247,0.5,Custom_db,NA,NA,NA,NA,15,1.413491513,NA,NA,NA,NA
I001_S011,I001,D001,NR001,S011,North_America,Canada,Grand River,PS1,2013,10,-80.20977577,43.14432736,COI,247,0.5,Custom_db,NA,NA,NA,NA,14,1.437260385,NA,NA,NA,NA
I001_S012,I001,D001,NR001,S012,North_America,Canada,Grand River,PS1,2013,10,-80.20145485,43.12602133,COI,247,0.5,Custom_db,NA,NA,NA,NA,12,1.327112663,NA,NA,NA,NA
I001_S013,I001,D001,NR001,S013,North_America,Canada,Grand River,PS1,2013,10,-80.21143995,43.11353995,COI,247,0.5,Custom_db,NA,NA,NA,NA,13,1.095590544,NA,NA,NA,NA
I001_S014,I001,D001,NR001,S014,North_America,Canada,Grand River,PS1,2013,10,-80.23307434,43.10438694,COI,247,0.5,Custom_db,NA,NA,NA,NA,15,2.031534952,NA,NA,NA,NA
I001_S015,I001,D001,NR001,S015,North_America,Canada,Grand River,PS1,2013,10,-80.24305945,43.0985623,COI,247,0.5,Custom_db,NA,NA,NA,NA,4,1.21566355,NA,NA,NA,NA
I001_S016,I001,D001,NR001,S016,North_America,Canada,Grand River,PS1,2013,10,-80.23141016,43.0877451,COI,247,0.5,Custom_db,NA,NA,NA,NA,10,1.316521307,NA,NA,NA,NA
I001_S017,I001,D001,NR001,S017,North_America,Canada,Grand River,PS1,2013,10,-80.21976087,43.09356974,COI,247,0.5,Custom_db,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
I001_S018,I001,D001,NR001,S018,North_America,Canada,Grand River,PS1,2013,10,-80.21060786,43.0977302,COI,247,0.5,Custom_db,NA,NA,NA,NA,3,0.011163175,NA,NA,NA,NA
I001_S019,I001,D001,NR001,S019,North_America,Canada,Grand River,PS1,2013,10,-80.19479811,43.09107347,COI,247,0.5,Custom_db,NA,NA,NA,NA,6,0.708047725,NA,NA,NA,NA
I001_S020,I001,D001,NR001,S020,North_America,Canada,Grand River,PS1,2013,10,-80.18481301,43.08940928,COI,247,0.5,Custom_db,NA,NA,NA,NA,4,0.528481247,NA,NA,NA,NA
I001_S021,I001,D001,NR001,S021,North_America,Canada,Grand River,PS1,2013,10,-80.16317862,43.08940928,COI,247,0.5,Custom_db,NA,NA,NA,NA,3,0.080267882,NA,NA,NA,NA
I001_S022,I001,D001,NR001,S022,North_America,Canada,Grand River,PS1,2013,10,-80.14487259,43.0977302,COI,247,0.5,Custom_db,NA,NA,NA,NA,2,0,NA,NA,NA,NA
I001_S023,I001,D001,NR001,S023,North_America,Canada,Grand River,PS1,2013,10,-80.13571958,43.10105857,COI,247,0.5,Custom_db,NA,NA,NA,NA,10,0.676800701,NA,NA,NA,NA
I001_S024,I001,D001,NR001,S024,North_America,Canada,Grand River,PS1,2013,10,-80.13571958,43.10105857,COI,247,0.5,Custom_db,NA,NA,NA,NA,3,0.834045478,NA,NA,NA,NA
I001_S025,I001,D001,NR001,S025,North_America,Canada,Grand River,PS1,2013,10,-80.12656657,43.10438694,COI,247,0.5,Custom_db,NA,NA,NA,NA,7,1.120896781,NA,NA,NA,NA
I001_S026,I001,D001,NR001,S026,North_America,Canada,Grand River,PS1,2013,10,-80.12656657,43.10438694,COI,247,0.5,Custom_db,NA,NA,NA,NA,4,0.442135756,NA,NA,NA,NA
I001_S027,I001,D001,NR001,S027,North_America,Canada,Grand River,PS1,2013,10,-80.12407029,43.11437204,COI,247,0.5,Custom_db,NA,NA,NA,NA,9,0.728261287,NA,NA,NA,NA
I001_S028,I001,D001,NR001,S028,North_America,Canada,Grand River,PS1,2013,10,-80.08995452,43.0977302,COI,247,0.5,Custom_db,NA,NA,NA,NA,3,0.46826417,NA,NA,NA,NA
I001_S029,I001,D001,NR001,S029,North_America,Canada,Grand River,PS1,2013,10,-80.06915222,43.09523393,COI,247,0.5,Custom_db,NA,NA,NA,NA,9,1.234785972,NA,NA,NA,NA
I001_S030,I001,D001,NR001,S030,North_America,Canada,Grand River,PS1,2013,10,-80.06332758,43.08691301,COI,247,0.5,Custom_db,NA,NA,NA,NA,6,0.663828121,NA,NA,NA,NA
I001_S031,I001,D001,NR001,S031,North_America,Canada,Grand River,PS1,2013,10,-80.04418946,43.0877451,COI,247,0.5,Custom_db,NA,NA,NA,NA,6,0.707146081,NA,NA,NA,NA
I001_S032,I001,D001,NR001,S032,North_America,Canada,Grand River,PS1,2013,10,-80.03503645,43.09107347,COI,247,0.5,Custom_db,NA,NA,NA,NA,5,0.626349594,NA,NA,NA,NA
I001_S033,I001,D001,NR001,S033,North_America,Canada,Grand River,PS1,2013,10,-79.99343185,43.08358464,COI,247,0.5,Custom_db,NA,NA,NA,NA,12,0.339997831,NA,NA,NA,NA
I001_S034,I001,D001,NR001,S034,North_America,Canada,Grand River,PS1,2013,10,-79.98427884,43.07942418,COI,247,0.5,Custom_db,NA,NA,NA,NA,18,2.853934292,NA,NA,NA,NA
I001_S035,I001,D001,NR001,S035,North_America,Canada,Grand River,PS1,2013,10,-79.96430863,43.07276744,COI,247,0.5,Custom_db,NA,NA,NA,NA,14,1.667735786,NA,NA,NA,NA
I001_S036,I001,D001,NR001,S036,North_America,Canada,Grand River,PS1,2013,10,-79.92852868,43.05945397,COI,247,0.5,Custom_db,NA,NA,NA,NA,20,2.46514416,NA,NA,NA,NA
I001_S037,I001,D001,NR001,S037,North_America,Canada,Grand River,PS1,2013,10,-79.91854357,43.05362933,COI,247,0.5,Custom_db,NA,NA,NA,NA,12,1.749895355,NA,NA,NA,NA
I001_S038,I001,D001,NR001,S038,North_America,Canada,Grand River,PS1,2013,10,-79.86495685,42.95535926,COI,247,0.5,Custom_db,NA,NA,NA,NA,4,0.404733317,NA,NA,NA,NA
I001_S039,I001,D001,NR001,S039,North_America,Canada,Grand River,PS1,2013,10,-79.85330756,42.93705324,COI,247,0.5,Custom_db,NA,NA,NA,NA,8,0.58285256,NA,NA,NA,NA
I001_S040,I001,D001,NR001,S040,North_America,Canada,Grand River,PS1,2013,10,-79.84165827,42.92873232,COI,247,0.5,Custom_db,NA,NA,NA,NA,6,0.858918713,NA,NA,NA,NA
I001_S041,I001,D001,NR001,S041,North_America,Canada,Grand River,PS1,2013,10,-79.8283448,42.91458676,COI,247,0.5,Custom_db,NA,NA,NA,NA,7,0.425849617,NA,NA,NA,NA
I001_S042,I001,D001,NR001,S042,North_America,Canada,Grand River,PS1,2013,10,-79.81669551,42.9104263,COI,247,0.5,Custom_db,NA,NA,NA,NA,2,0,NA,NA,NA,NA
I001_S043,I001,D001,NR001,S043,North_America,Canada,Grand River,PS1,2013,10,-79.80171786,42.91375467,COI,247,0.5,Custom_db,NA,NA,NA,NA,8,0.557341541,NA,NA,NA,NA
I002_S001,I002,D001,NR002,S001,North_America,Canada,Sydenham River,PS1,2013,10,-82.36418296,42.71651579,COI,247,0.5,Custom_db,NA,NA,NA,NA,7,0.180456129,NA,NA,NA,NA
