factor,plus,center,scale,trans
catch_area,0,2.584616697,1.342939807,log10
bio01,0,11.46080366,6.89872611,none
HFP_Lights2009,0,5.526618154,4.074540147,none
SamVolume,0,0.002487451,0.778546933,log10
SR_init_re,1,0.847565161,0.409269622,log10
SR_init_ori,1,0.996163493,0.433082883,log10
autocor,1,3.18957261,0.930876526,log10
SR_Re,1,-1.00E-05,2.176111259,log10
Redundancy_Re,0.1,-1.00001,2.205961506,log10
GD_Re,0.001,-3.00001,2.228328292,log10
SR_Ori,1,-1.00E-05,2.103823721,log10
Redundancy_Ori,0.1,-1.00001,2.072134604,log10
MNTD_Tre,0,1.133676277,1.528035561,log10
GDvalue.COI_Tre,0.001,-3.00001,2.351872892,log10
