factor,plus,center,scale,trans
catch_area,0,2.58461669730265,1.34293980688304,log10
bio01,0,11.4608036617005,6.89872611037755,none
bio12,0,1113.4436997319,527.007543267156,none
HFP_Lights2009,0,5.526618153964,4.07454014697489,none
V_lc1,0.001,-1.52622562104651,1.03784671665446,log10
SamVolume,0,0.00248745085931454,0.778546933323837,log10
SR_init_re,1,0.847565160754273,0.409269621968938,log10
SR_init_ori,1,0.996163493409687,0.433082883186546,log10
autocor,1,3.18957260970302,0.930876526061901,log10
SR_Re,1,-1e-05,2.17611125905568,log10
Redundancy_Re,0.1,-1.00001,2.20596150631667,log10
MNTD_Re,0,-2.44370749923271,2.42339332112046,log10
GD_Re,0.001,-3.00001,2.2283282923754,log10
SR_Ori,1,-1e-05,2.10382372095596,log10
Redundancy_Ori,0.1,-1.00001,2.07213460392359,log10
MNTD_Tre,0,1.13367627737395,1.52803556125415,log10
GDvalue.COI_Tre,0.001,-3.00001,2.35187289171349,log10
