RivID,nSpes,nNative,nExotic
NR001,207,167,40
NR002,207,167,40
NR003,207,167,40
NR004,207,167,40
NR005,75,72,3
NR006,70,47,25
NR007,16,15,1
NR008,4,3,1
NR009,19,18,1
NR010,13,12,1
NR011,11,11,0
NR012,373,373,0
NR013,252,252,0
NR014,248,248,0
NR015,264,264,0
NR016,69,46,23
NR017,502,436,66
NR018,32,20,12
NR019,46,33,13
NR020,373,373,0
NR021,264,264,0
NR022,207,167,40
NR023,62,49,13
NR024,59,34,25
NR025,36,33,3
NR026,47,46,3
NR027,96,69,27
NR028,19,12,7
NR029,7,7,0
NR030,71,56,16
NR031,13,11,2
NR032,71,56,16
NR033,68,53,15
NR034,68,53,15
NR035,8,8,0
NR036,5,5,0
NR037,9,8,1
NR038,9,8,1
NR039,68,53,15
NR040,53,33,20
NR041,69,46,23
NR042,310,299,12
NR043,13,12,1
NR044,12,10,2
NR045,16,11,5
NR046,16,11,5
NR047,13,11,2
NR048,10,10,0
NR049,30,29,1
NR050,114,92,22
NR051,441,434,7
NR052,946,919,29
NR053,2274,2268,5
NR054,135,125,10
NR055,135,125,10
NR056,135,125,10
NR057,135,125,10
NR058,40,38,2
NR059,63,59,4
NR060,103,100,3
NR061,126,118,8
NR062,522,505,17
NR063,675,670,8
NR064,441,434,7
NR065,58,41,17
NR066,72,45,27
NR067,18,11,7
NR068,72,45,27
NR069,69,46,23
NR070,130,105,36
NR071,68,44,24
NR072,69,46,23
NR073,116,64,52
NR074,28,28,0
NR075,116,64,52
NR076,35,18,17
NR077,23,23,0
NR078,72,43,30
NR079,502,436,66
NR080,28,19,9
NR081,120,102,18
NR082,207,167,40
NR083,502,436,66
NR084,502,436,66
NR085,1047,1027,20
NR086,2274,2268,5
NR087,248,248,0
NR088,252,252,0
NR089,373,373,0
NR090,221,219,2
NR091,219,219,0
NR092,8,7,1
NR093,48,40,8
NR094,48,40,8
NR095,9,7,2
NR096,72,45,27
NR097,37,26,14
NR098,69,46,23
NR099,72,45,27
NR100,274,262,12
NR101,235,231,4
NR102,441,434,7
NR103,142,139,3
NR104,88,88,0
NR105,18,18,0
NR106,18,18,0
NR107,9,9,0
NR108,26,26,0
NR109,26,26,0
NR110,9,9,0
NR111,26,26,0
NR112,18,18,0
NR113,36,22,14
