DataID,RiverID,SiteID,RiverSiteID,Continent,Country,RiverName,Biome,Realm,Eco_Biome,Conti_Biome,lon_ori,lat_ori,lon_HGV3,lat_HGV3,lon_HSV3,lat_HSV3,biodiv_ori,biodiv_rec,catch_area,elev,discharge,cum_prec,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,V_lc1,V_lc2,V_lc3,V_lc4,anthromes2017,gHM,HFP2009,HFP_Lights2009,HFP_Population2010,autocor
D001,NR001,S001,NR001_S001,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.29797752,43.14931991,-80.29702574,43.14874884,-80.29861897,43.15049067,4,NA,5172.043,211,34.897,4901648,7.9375,9.625,26.226158,994.51935,26.9,-9.8,36.7,19.116667,-3.75,19.883333,-4.516667,875,97,48,20.370062,267,157,257,166,4299.8716,545.48865,13.977145,281.38226,12,0.63029,37,10,9,1072.85750408353
D001,NR001,S002,NR001_S002,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.28632823,43.13767062,-80.28629254,43.13809892,-80.28639518,43.13794746,7,NA,5193.102,214.5,17.4855,4920209.5,8.04375,9.6,26.177536,993.2617,26.95,-9.7,36.65,19.224998,-3.6166666,19.991667,-4.4083333,874.5,96,47.5,19.953033,265.5,158.5,256,164.5,4319.7153,546.4602,14.117157,285.8358,12,0.840543,49,10,9,1072.85750408353
D001,NR001,S003,NR001_S003,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.26719011,43.13267807,-80.26644772,43.13284939,-80.2668,43.1336,4,NA,5197.8003,209,35.413,4924324.5,8.166666,9.633333,26.177536,996.0288,27.150002,-9.6,36.800003,19.383333,-3.516667,20.158333,-4.3333335,872,97,47,20.662437,266,156,257,162,4305.13,545.98,14.256382,289.5274,12,0.859258,49,10,9,1072.85750408353
D001,NR001,S004,NR001_S004,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.26469384,43.12269296,-80.26298063,43.12369233,-80.2638,43.1227,6,NA,5200.733,206,35.413,4926885,8.122917,9.633333,26.21645,994.0014,27.1,-9.7,36.75,19.316666,-3.5416665,20.1,-4.3500004,871.5,96.5,47,20.560848,266,156,256.5,161.5,4306.3135,546.11926,14.256382,291.05923,12,0.665161,49,10,9,1072.85750408353
D001,NR001,S005,NR001_S005,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.26719011,43.11437204,-80.2681181,43.1162994,-80.262,43.1153,7,NA,5201.9243,204,35.413,4927914.5,8.1375,9.65,26.226158,993.6251,27.1,-9.7,36.7,19.333334,-3.5333333,20.116667,-4.3333335,869,97,47,20.771465,266,155,257,160,4323.3643,541.9524,14.325638,290.5703,12,0.665161,36.75,10,9,1072.85750408353
D001,NR001,S006,NR001_S006,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.26469384,43.10605112,-80.26476522,43.10794279,-80.2581,43.1135,8,NA,5202.858,207.5,35.413,4928727.5,8.03125,9.6125,26.254105,990.7986,26.9,-9.7,36.6,19.191666,-3.6,19.958332,-4.4,867,95,47,20.255482,263,155.5,253.5,161.5,4333.171,547.2068,14.53495,291.8228,12,0.630611,38.75,9,8,1072.85750408353
D001,NR001,S007,NR001_S007,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.24472363,43.10771531,-80.2460942,43.10959984,-80.2463,43.1145,18,NA,5204.8887,211.5,35.413,4930480.5,7.9416666,9.570833,26.282051,987.5947,26.7,-9.75,36.45,19.05,-3.6666665,19.816666,-4.45,865.5,94,47,20.069756,262,156,251.5,162,4325.384,542.1614,14.604205,290.7096,12,0.580424,38.75,9,8,1072.85750408353
D001,NR001,S008,NR001_S008,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.24305945,43.11603623,-80.24128913,43.11609334,-80.2422,43.1154,14,NA,5205.735,207.5,35.413,4931208.5,7.94375,9.570833,26.282051,987.652,26.7,-9.75,36.45,19.05,-3.6666665,19.816666,-4.458333,863,94,46.5,20.295206,262,155,251,160.5,4309.4473,546.4674,14.604588,292.1733,12,0.606173,35,9,8,1072.85750408353
D001,NR001,S009,NR001_S009,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.22475342,43.1193646,-80.22537803,43.1195728,-80.2263,43.1212,10,NA,5208.448,200,35.413,4933545,8.008333,9.616667,26.294277,988.84106,26.8,-9.7,36.5,19.133333,-3.6,19.9,-4.4,861,94,46,20.6071,262,153,251,158,4316.802,541.9702,14.604588,292.24103,12,0.636616,35,9,8,1072.85750408353
D001,NR001,S010,NR001_S010,NA,Canada,Grand River,2,Nearctic,NE04,NA2,-80.2164325,43.13018179,-80.21545097,43.13038999,-80.2188,43.13,15,NA,5210.3413,200,35.413,4935173,7.975,9.616667,26.320583,987.80365,26.8,-9.7,36.5,19.083334,-3.6166666,19.883333,-4.4,859,95,46,21.395802,264,152,252,157,4312.9985,546.5371,14.674211,293.21768,12,0.697387,39,9,8,1072.85750408353
